covid;quarentena;cloroquina;aglomeracao;distanciamento;covid_rel;quarentena_rel;cloroquina_rel;aglomeracao_rel;distanciamento_rel
782014;1211996;20803;42524;12784;0.32042137524686753;0.4966016274819921;0.00852379352449008;0.017423727146825753;0.005238099140368273
802278;1208078;35935;47953;12904;0.3164530099951878;0.4765180142157288;0.014174312288479898;0.01891472929371021;0.005089893579255449
808660;1095798;200837;43770;13577;0.3076525070525417;0.4168933815486868;0.07640789275951737;0.016652177965634198;0.005165332881869214
800097;1041496;268898;40844;12591;0.3047640269683465;0.3967150420904277;0.10242562754732792;0.015557841008646631;0.004796023311621529
576040;919931;83278;34795;9341;0.2898047626306609;0.4628157508013099;0.041897022815006214;0.017505306429646983;0.004699441510542677
597720;623706;55746;41869;9131;0.3734568942571912;0.3896930095857185;0.0348302349382008;0.026159851946821817;0.005705070771368554
594083;663349;50777;35963;8914;0.3580508602265892;0.3997971328592936;0.030603044574117624;0.021674720680997142;0.005372423328154174
512174;664917;41311;30569;7121;0.3459071541310043;0.449065253611712;0.027900226181543614;0.020645397452097668;0.0048093125472337146
509670;620912;27287;33252;7877;0.3539057959391138;0.4311502650109816;0.01894760816565738;0.02308959822349248;0.005469648899508308
456859;509555;28303;45139;7041;0.3619401861754803;0.4036878589819766;0.02242265795206972;0.03576074470192117;0.005578134284016637
710044;477113;208159;26382;7634;0.4191023266410971;0.2816151792997529;0.1228655142657133;0.015571932980836997;0.004505956196486606
483942;452240;63780;25660;7101;0.3975852836379799;0.3715403264697836;0.052398819260222;0.021081117940064228;0.00583386665987514
474094;464156;111745;27954;7563;0.3516339578419593;0.3442629759838607;0.08288089834304957;0.02073338970228294;0.005609452182813404
403030;396524;77036;24884;6504;0.36215305983078017;0.3563069247855998;0.06922269587158271;0.022360163612706586;0.005844337893306688
366216;327849;44472;22052;6138;0.38667293143771214;0.3461627397462768;0.04695621875313458;0.02328383108347104;0.006480870451221896
419638;324647;73687;24439;7292;0.4082820432490704;0.31586162476868385;0.0716929327679911;0.023777648485037176;0.0070946688797778575
300103;292146;41639;21062;4935;0.3938566328941152;0.3834138274975064;0.05464722557614573;0.027641870964355084;0.0064767179379494975
259847;195167;28900;13638;3702;0.4303798516634038;0.3232515461390416;0.04786654343930225;0.02258837091436692;0.006131555149214426
194829;149064;12162;18430;3662;0.4295531812629806;0.3286518711885034;0.026814415669743057;0.04063391553966162;0.008073868622150886
260404;193072;14567;22786;4940;0.4360853401212446;0.32332786281274073;0.02439461432829822;0.03815855578256355;0.008272766855343805
247754;156584;12201;17771;4772;0.4702526131577499;0.2972062415892099;0.02315826236160751;0.03373047130793599;0.0090575549536588
299144;138147;10931;17140;4546;0.4971233901121728;0.2295754050685501;0.018165351059410053;0.028483589530535938;0.007554632322393021
257356;121730;19926;13023;3716;0.5066701316701316;0.23965617715617715;0.03922935172935173;0.025639056889056887;0.007315882315882315
218308;110682;8010;13517;3883;0.5176070029684847;0.2624263806299257;0.0189916635843742;0.032048728672907124;0.0092065704991417
229034;97680;11375;12078;4206;0.510451559989213;0.21770090196104647;0.025351635542658724;0.026918422337075348;0.00937397618394924
261490;94503;82132;11769;4273;0.4688578616036448;0.16944615279792438;0.14726465214436713;0.021102100169082167;0.00766159181090051
246095;86898;14374;15348;4927;0.5287601064846944;0.18670918032998224;0.030883999149153775;0.032976737090664544;0.010586159997765457
206129;73787;8072;13092;3613;0.5557041298563352;0.1989227165013628;0.021761342344843948;0.03529478369409031;0.009740303504945638
279053;78090;13658;22120;4527;0.5544180113882454;0.1551479557980315;0.0271354946893266;0.04394766016458518;0.00899417077599806
302144;75963;9230;15734;4427;0.5860705820282344;0.14734590004306147;0.017903487979640843;0.030519336930841717;0.008587079229238355
326754;67485;11840;18684;4322;0.6031988067239922;0.12457956588677907;0.021857035787204042;0.03449128856825339;0.007978556475700662
339243;78847;11748;20135;5184;0.5554795070089288;0.1291047794328343;0.01923627974148588;0.03296922817456744;0.008488327730665886
358445;71411;42178;17759;4915;0.5235181141692895;0.10429759670505416;0.06160205057800304;0.02593747489721551;0.007178483536224687
363966;66757;22951;19465;5489;0.5544475723895876;0.1016942697669884;0.034962403724285857;0.029652005947158038;0.008361667641610608
320457;55449;20231;21111;4715;0.593050111593511;0.1026160628032734;0.037440270637396966;0.03906883265414895;0.008725761260210898
446460;66552;17863;46102;5650;0.6416591212865951;0.09564954943301858;0.025672976041621755;0.06625849753517585;0.00812026617226462
