date,ep_week,retweets,tweets,total,total_users,tweets_users,retweets_users,total_inhabitants,last_available_confirmed,last_available_deaths,new_week_cases,new_week_deaths,prevalence,mortality,lethality,incidence_cases,incidence_deaths,cases_growth_factor,deaths_growth_factor,new_week_cases_mm,new_week_deaths_mm,incidence_cases_mm,incidence_deaths_mm
2020-05-09,19,4411738,2535220,6946958,2005888,1178103,1327050,211755691.6839929,157248,10695,59669,3885,74.25916099325643,5.050631657145893,6.801358363858364,28.178227241724013,1.8346614294541184,1.5672261182465264,1.4199561403508771,40024,2773,18.901184197241047,1.3096853790697784
2020-05-16,20,5441738,2628485,8070223,1998961,1166582,1340220,211755691.6839929,234678,15702,77430,5007,110.82488415480915,7.415148974334253,6.6908700432081405,36.56572316155275,2.364517317188358,1.2976587507751094,1.2888030888030888,58390,3876,27.57454413730904,1.830411248536464
2020-05-23,21,5396022,2625300,8021322,2063343,1180411,1406840,211755691.6839929,351561,22196,116883,6494,166.0219837323859,10.481890627583944,6.3135558267270815,55.19709957757677,3.06674165324969,1.5095311894614492,1.2969842220890753,84660,5128,39.98034999361784,2.4219734666307224
2020-05-30,22,3288557,1987683,5276240,1731306,1004770,1115403,211755691.6839929,502913,28895,151352,6699,237.4968039822546,13.645441957291315,5.745526562248341,71.47482024986866,3.163551329707372,1.2949017393461837,1.0315676008623345,115221,6066,54.412547662999394,2.8649367667151404
2020-06-06,23,3239302,1600506,4839808,1656340,852443,1132080,211755691.6839929,676893,36054,173980,7159,319.6575235437546,17.02622475612324,5.326395752356723,82.16071956150002,3.3807827988319263,1.1495057878323378,1.068666965218689,147405,6784,69.61087979631515,3.203691927262996
2020-06-13,24,3105417,1659214,4764631,1506720,846669,970724,211755691.6839929,851779,42792,174886,6738,402.2460946509652,20.208193536473786,5.023838343044381,82.58857110721056,3.1819687803505405,1.005207495114381,0.9411929040368766,166739,6865,78.74137030619308,3.2421009696299463
2020-06-20,25,2524989,1480669,4005658,1465843,792536,969585,211755691.6839929,1071337,50100,219558,7308,505.93067486411513,23.659340441609093,4.676399676292334,103.68458021314991,3.4511469051353147,1.2554349690655626,1.0845948352626893,189474,7068,89.47795696062016,3.3379661614392604
2020-06-27,26,2334961,1440129,3775090,1416234,786141,912681,211755691.6839929,1318551,57159,247214,7059,622.6755887948925,26.992899008022643,4.3349859049820605,116.74491393077749,3.333558566413545,1.12596216034032,0.9659277504105089,213886,7035,101.00602175037929,3.3222247506331333
2020-07-04,27,2010932,1262250,3273182,1310758,715346,831870,211755691.6839929,1580041,64410,261490,7251,746.1622341457181,30.417128100679477,4.076476496495975,123.4866453508256,3.4242290926568373,1.057747538569822,1.0271993200169995,242754,7206,114.63871316491766,3.402978188068566
2020-07-11,28,2980465,1694202,4674667,1489286,843133,964691,211755691.6839929,1844313,71578,264272,7168,870.9626576424231,33.80216108042906,3.881011520278825,124.80042349670497,3.3850329797495813,1.010639030173238,0.9885533029926906,257658,7159,121.67732759276933,3.380940212939988
2020-07-18,29,2153756,1217203,3370959,1274554,676766,821232,211755691.6839929,2077955,78870,233642,7292,981.2982987493781,37.24575210837743,3.795558614118207,110.33564110695472,3.4435910279483735,0.88409668826058,1.0172991071428572,253134,7237,119.54090331816177,3.417617700118264
2020-07-25,30,2911993,1348260,4260253,1446671,709108,1022448,211755691.6839929,2398993,86536,321038,7666,1132.9060300207009,40.865961765570546,3.607180179350252,151.6077312713234,3.62020965719312,1.3740594584877721,1.0512890839275921,272984,7375,128.91459862499434,3.4829445549636917
2020-08-01,31,2129849,1112872,3242721,1219477,611432,818178,211755691.6839929,2711992,93668,312999,7132,1280.7174052479108,44.23399402164952,3.4538449965929106,147.81137522720968,3.368032256078964,0.9749593506064702,0.9303417688494652,289226,7363,136.58491586849593,3.4772776470734863
2020-08-08,32,1493507,947095,2440602,1012950,544966,623798,211755691.6839929,3018397,100648,306405,6980,1425.4148145894526,47.53024544445255,3.334485158844248,144.69740934154163,3.296251422803024,0.9789328400410224,0.978687605159843,313480,7259,148.03883861335822,3.428164445358369
2020-08-15,33,2039531,1027814,3067345,1074111,551448,699744,211755691.6839929,3320108,107364,301711,6716,1567.8955184612753,50.70182489367104,3.233750227402241,142.48070387182278,3.1715794492184974,0.9846804066513276,0.9621776504297994,307038,6942,144.99649614685802,3.2786210427001614
2020-08-22,34,1196426,761960,1958386,836511,448769,495226,211755691.6839929,3586586,114378,266478,7014,1693.7377085251296,54.01413255549631,3.1890494191412118,125.84219006385445,3.3123076618252734,0.883222686610697,1.0443716497915423,291531,6903,137.67343442573963,3.260046177948932
2020-08-29,35,1038078,603762,1641840,775769,383163,483561,211755691.6839929,3850070,120570,263484,6192,1818.1660050703774,56.93825702684249,3.1316313729360763,124.42829654524813,2.924124471346178,0.9887645509197758,0.8828058169375534,277224,6640,130.9170634936418,3.1360038607966487
