,region,week_last_day,epidemiological_week,total_inhabitants,last_available_confirmed,last_available_deaths,new_week_cases,new_week_deaths,prevalence,mortality,lethality,incidence_cases,incidence_deaths,cases_growth_factor,deaths_growth_factor,new_week_cases_mm,new_week_deaths_mm,incidence_cases_mm,incidence_deaths_mm
25,Brasil,15/08/2020,33,211755691.6839929,3320108,107364,301711,6716,1567.8955184612753,50.70182489367104,3.233750227402241,142.48070387182278,3.171579449218497,0.9846804066513275,0.9621776504297994,307038,6942,144.99649614685805,3.2786210427001614
26,Brasil,22/08/2020,34,211755691.6839929,3586586,114378,266478,7014,1693.7377085251298,54.01413255549631,3.1890494191412113,125.84219006385446,3.3123076618252734,0.883222686610697,1.0443716497915425,291531,6903,137.67343442573963,3.2600461779489316
27,Brasil,29/08/2020,35,211755691.6839929,3850070,120570,263484,6192,1818.1660050703779,56.93825702684249,3.1316313729360763,124.42829654524813,2.924124471346178,0.9887645509197758,0.8828058169375534,277224,6640,130.9170634936418,3.136003860796649
28,Brasil,05/09/2020,36,211755691.6839929,4125816,126292,275746,5722,1948.384936994768,59.640427605822275,3.061018717267081,130.21893192439006,2.702170578979785,1.0465379301969,0.9240956072351422,268569,6309,126.82980617783089,2.9795342373837457
29,Brasil,12/09/2020,37,211755691.6839929,4318971,131341,193155,5049,2039.6009031224926,62.024779100626354,3.0410252812533356,91.21596612772466,2.3843514948040783,0.7004816026343084,0.8823837818944426,244128,5654,115.28773153245429,2.670215515043347
30,Brasil,19/09/2020,38,211755691.6839929,4531145,136626,212174,5285,2139.798446013869,64.5205797839378,3.015264353711921,100.19754289137661,2.4958006833114585,1.0984649633713857,1.0467419290948703,227025,5352,107.21081364783045,2.527440919031774
31,Brasil,26/09/2020,39,211755691.6839929,4720957,141508,189812,4882,2229.4357060518473,66.8260668106032,2.99744310316743,89.63726003797815,2.3054870266653813,0.8946053710633726,0.9237464522232735,198380,5072,93.68358968569315,2.3952130682603063
32,Brasil,03/10/2020,40,211755691.6839929,4908974,146093,188017,4585,2318.2252911179157,68.99129786698599,2.9760393923455286,88.78958506606821,2.1652310563827886,0.9905432743978252,0.939164276935682,196667,4917,92.87479599847433,2.322172922119876
33,Brasil,10/10/2020,41,211755691.6839929,5084513,150302,175539,4209,2401.1222364628184,70.97896580947565,2.956074652577346,82.89694534490258,1.9876679424896744,0.9336336607859927,0.9179934569247546,184456,4558,87.10793014964965,2.152795341845948
34,Brasil,17/10/2020,42,211755691.6839929,5226341,153756,141828,3454,2468.09942081716,72.61009079720655,2.9419435126793294,66.97718435434201,1.6311249877308946,0.8079572060909541,0.8206224756474222,168461,4082,79.5545715884376,1.9280079955344525
35,Brasil,24/10/2020,43,211755691.6839929,5384340,156991,157999,3235,2542.7132357958785,74.13779471594118,2.9156962598944345,74.61381497871848,1.5277039187346393,1.1140183884705417,0.9365952518818761,158455,3632,74.82931489265435,1.715498949651736
36,Brasil,31/10/2020,44,211755691.6839929,5537763,159972,153423,2981,2615.166069899132,75.54554908433315,2.8887476766340487,72.45283410325334,1.4077543683919505,0.9710377913784265,0.921483771251932,151083,3223,71.34794447877128,1.5221944249524946
37,Brasil,07/11/2020,45,211755691.6839929,5655887,162348,118124,2376,2670.949222201021,76.66759684659388,2.8704250986626856,55.78315230188888,1.1220477622607428,0.7699236750682753,0.7970479704797048,143182,2864,67.61660046128691,1.3525020164624442
38,Brasil,14/11/2020,46,211755691.6839929,5851389,165739,195502,3391,2763.273541063605,78.26897056790119,2.832472768431564,92.32431886258406,1.6013737213073143,1.6550573973113,1.4271885521885521,155683,2916,73.52010175590875,1.3770586173200023
39,Brasil,21/11/2020,47,211755691.6839929,6056135,169088,204746,3349,2859.9632679709443,79.8505101115928,2.7920117368585737,96.68972690733924,1.581539543691594,1.0472834037503453,0.9876142730757889,172790,3038,81.5990660239374,1.4349870090865504
40,Brasil,28/11/2020,48,211755691.6839929,6297258,172684,241123,3596,2973.831753905118,81.54869350935779,2.7422093870062176,113.86848593417385,1.6981833977649963,1.1776689166088714,1.073753359211705,213790,3445,100.9608439013657,1.6270322209213015
41,Brasil,05/12/2020,49,211755691.6839929,6580517,176718,283259,4034,3107.598642411101,83.45371904511529,2.6854728891362183,133.76688850598305,1.9050255357575068,1.174748987031515,1.1218020022246942,243042,3659,114.77503378249871,1.7282494924046992
42,Brasil,12/12/2020,50,211755691.6839929,6884782,181241,304265,4523,3251.2854531788894,85.58967107739869,2.6324871288589824,143.68681076778824,2.135952032283392,1.0741582791720652,1.1212196331184927,276215,4051,130.44072840264838,1.9130536552686317
43,Brasil,19/12/2020,51,211755691.6839929,7218141,186461,333359,5220,3408.7116821264813,88.0547760096382,2.5832274542711207,157.42622894759214,2.4651049322395107,1.0956205938901944,1.154101260225514,306961,4592,144.95997607378783,2.1686941667601363
44,Brasil,26/12/2020,52,211755691.6839929,7469541,190913,251400,4452,3527.4334024262926,90.15719883690454,2.5558866334624843,118.72172029981091,2.1024228272663414,0.7541419310713076,0.8528735632183908,296341,4731,139.94492000506378,2.234493263929748
45,Brasil,02/01/2021,53,211755691.6839929,7719324,195834,249783,4921,3645.3915068878982,92.48110331421309,2.5369319904178136,117.95810446160569,2.32390447730855,0.9935680190930788,1.1053459119496856,278180,4864,131.36868456966957,2.297144078938134
46,Norte,09/01/2021,1,18672590.959272966,891936,18736,29666,615,4776.712572697669,100.33958351503193,2.100599146127076,158.8745775275906,3.293597558803621,0.0,0.0,29666,615,158.8745775275906,3.293597558803621
47,Norte,14/03/2020,11,18672590.959272966,2,0,2,0,0.010710886370093075,0.0,0.0,0.010710886370093075,0.0,6.741724533135576e-05,0.0,2,0,0.010710886370093075,0.0
48,Norte,21/03/2020,12,18672590.959272966,32,0,30,0,0.1713741819214892,0.0,0.0,0.16066329555139613,0.0,15.0,0.0,9899,205,53.015317236504025,1.0978658529345402
49,Norte,28/03/2020,13,18672590.959272966,189,1,157,1,1.0121787619737956,0.005355443185046538,0.5291005291005291,0.8408045800523064,0.005355443185046538,5.233333333333333,0.0,63,0,0.33739292065793186,0.0017851477283488458
50,Norte,04/04/2020,14,18672590.959272966,537,16,348,15,2.8758729903699907,0.0856870909607446,2.97951582867784,1.8636942283961953,0.08033164777569807,2.21656050955414,15.0,178,5,0.9550540346666326,0.028562363653581533
51,Norte,11/04/2020,15,18672590.959272966,1689,76,1152,60,9.045343539543602,0.4070136820635369,4.499703966844287,6.169470549173612,0.32132659110279227,3.310344827586207,4.0,552,25,2.957989785874038,0.13567122735451229
52,Norte,18/04/2020,16,18672590.959272966,3463,218,1774,142,18.54589974981616,1.1674866143401452,6.2951198382905,9.500556210272558,0.7604729322766084,1.5399305555555556,2.3666666666666667,1091,72,5.844573662614121,0.3873770570516996
53,Norte,25/04/2020,17,18672590.959272966,7114,426,3651,208,38.09862281842107,2.281418796829825,5.988192296879393,19.55272306860491,1.11393218248968,2.0580608793686586,1.4647887323943662,2192,136,11.740916609350359,0.731910568623027
54,Norte,02/05/2020,18,18672590.959272966,13097,905,5983,479,70.14023939455451,4.846676082467117,6.909979384591891,32.041616576133436,2.5652572856372915,1.6387291153108738,2.3028846153846154,3802,276,20.36496528500363,1.4798874668011932
55,Norte,09/05/2020,19,18672590.959272966,25924,1751,12827,846,138.83450912914645,9.377381017016488,6.754358895232217,68.69426973459194,4.530704934549371,2.1439077385926795,1.7661795407098122,7487,511,40.09620312644343,2.7366314675587806
56,Norte,16/05/2020,20,18672590.959272966,43848,2914,17924,1163,234.8254727779206,15.605761441225612,6.645685093960956,95.99096364877414,6.228380424209123,1.3973649333437281,1.3747044917257683,12244,829,65.5756166531665,4.441447548131928
57,Norte,23/05/2020,21,18672590.959272966,70863,4381,27015,1467,379.5027704219528,23.462196593688883,6.182351862043662,144.67729764403222,7.856435152463271,1.5071970542289668,1.2613929492691316,19255,1158,103.12084367579943,6.205173503740589
58,Norte,30/05/2020,22,18672590.959272966,106002,5662,35139,1281,567.6876885013031,30.322519313733498,5.341408652666931,188.1849180793503,6.860322720044615,1.3007218212104386,0.8732106339468303,26692,1303,142.9510597907189,6.981712765572336
59,Norte,06/06/2020,23,18672590.959272966,141817,6836,35815,1174,759.4928861737449,36.60980961297813,4.820296579394572,191.80519767244175,6.287290299244636,1.0192378838327785,0.9164715066354411,32656,1307,174.8891377986081,7.001349390584174
60,Norte,13/06/2020,24,18672590.959272966,175817,7872,34000,1036,941.5779544653271,42.15804875268635,4.477382733182798,182.08506829158227,5.548239139708214,0.9493229093955047,0.8824531516183987,34984,1163,187.35839468112476,6.2319507196658215
61,Norte,20/06/2020,25,18672590.959272966,211496,8718,35679,846,1132.6548118646026,46.68875368723572,4.1220637742557775,191.0768573992754,4.530704934549371,1.0493823529411765,0.8166023166023166,35164,1018,188.32237445443312,5.4554114578340736
62,Norte,27/06/2020,26,18672590.959272966,254583,9328,43087,610,1363.4047923787027,49.95557403011411,3.6640309840012883,230.74998051410017,3.266820342878388,1.2076291375879369,0.7210401891252955,37588,830,201.30396873498594,4.448588139045325
63,Norte,04/07/2020,27,18672590.959272966,287964,9982,33381,654,1542.1748413387413,53.45803387313454,3.4664055229125865,178.77004896003848,3.5024598430204357,0.7747348388144916,1.0721311475409836,37382,703,200.19896229113803,3.766661706816065
64,Norte,11/07/2020,28,18672590.959272966,320156,10472,32192,490,1714.5772683517594,56.082201033807344,3.2709054336011194,172.40242701301815,2.6241671606728034,0.9643809352625745,0.7492354740061162,36220,584,193.9741521623856,3.1311491155238755
65,Norte,18/07/2020,29,18672590.959272966,351162,11023,31006,551,1880.6281397473124,59.03305022876799,3.1390070679629343,166.05087139555295,2.9508491949606426,0.9631585487077535,1.1244897959183673,32193,565,172.4077824562032,3.025825399551294
66,Norte,25/07/2020,30,18672590.959272966,385545,11592,34383,569,2064.7643427787675,62.08029740105947,3.0066529198926197,184.13620303145512,3.0472471722914802,1.108914403663807,1.0326678765880217,32527,536,174.19650048000872,2.8740878426416416
67,Norte,01/08/2020,31,18672590.959272966,413676,11943,28131,351,2215.4183150173117,63.960057959010804,2.8870420328953097,150.65397223854416,1.8797605579513348,0.8181659541052264,0.616871704745167,31173,490,166.94701555518407,2.625952308401153
68,Norte,08/08/2020,32,18672590.959272966,445623,12338,31947,395,2386.508658449993,66.07545801710418,2.768708078353227,171.09034343268175,2.1154000580933823,1.135651061106964,1.1253561253561253,31487,438,168.62683956756032,2.3474692627787324
69,Norte,15/08/2020,33,18672590.959272966,475421,12683,29798,345,2546.09015447801,67.92308591594524,2.6677408023625375,159.58149602801674,1.8476278988410555,0.9327323379347043,0.8734177215189873,29958,363,160.4419372330809,1.947596171628591
70,Norte,22/08/2020,34,18672590.959272966,505675,13067,30254,384,2708.113732598408,69.97957609900311,2.584070796460177,162.02357812039796,2.0564901830578703,1.015303040472515,1.1130434782608696,30666,374,164.23180586036548,2.0065060466641027
71,Norte,29/08/2020,35,18672590.959272966,534741,13392,29066,325,2863.775044214971,71.72009513414324,2.5043899757078663,155.66131161656267,1.7405190351401247,0.960732465128578,0.8463541666666666,29706,351,159.08879525499245,1.8815457056796834
72,Norte,05/09/2020,36,18672590.959272966,559969,13911,25228,519,2998.882164887325,74.49957014718238,2.484244663543875,135.10712067235406,2.779475013039153,0.8679556870570426,1.596923076923077,28182,409,150.93067013643824,2.1921614104123828
73,Norte,12/09/2020,37,18672590.959272966,579814,14203,19845,292,3105.1609348945735,76.06335955721597,2.4495786579834222,106.27877000724854,1.563789410033589,0.7866259711431742,0.5626204238921002,24713,378,132.34906743205508,2.027927819404289
74,Norte,19/09/2020,38,18672590.959272966,600313,14531,20499,328,3214.942164744842,77.81994492191124,2.420570602335782,109.78122985026899,1.7565853646952645,1.0329554043839757,1.1232876712328768,21857,379,117.05570684329052,2.0332832625893356
75,Norte,26/09/2020,39,18672590.959272966,621073,14815,20760,284,3326.1211652664083,79.34089078646446,2.385387869058871,111.17900052156612,1.5209458645532168,1.0127323284062637,0.8658536585365854,20368,301,109.0796667930279,1.6137735464273568
76,Norte,03/10/2020,40,18672590.959272966,640797,15151,19724,336,3431.7519266482664,81.14031969664009,2.364399333954435,105.63076138185791,1.7994289101756367,0.9500963391136802,1.1830985915492958,20327,316,108.86366391789767,1.6923200464747061
77,Norte,10/10/2020,41,18672590.959272966,654895,15365,14098,214,3507.2529646710523,82.28638453824006,2.346177631528718,75.50103802278609,1.146064841599959,0.7147637396065707,0.6369047619047619,18194,278,97.4369333087367,1.4888132054429375
78,Norte,17/10/2020,42,18672590.959272966,667953,15558,13058,193,3577.1843417813902,83.31998507295404,2.32920579741389,69.93137711033769,1.0336005347139818,0.9262306710171656,0.9018691588785047,15626,247,83.6877255049939,1.3263647621631927
